File_Number,Composer,Title,Genre,Difficulty,Pages,Duration,Piano_Only,Download_Status,URL,Monophonic,Instruments,Silent,Split
407,Guillaume De Machaut,Douce Dame Jolie,Classical,Beginner,2.0,3:15,Yes,,https://musescore.com/user/7989831/scores/1825541,Yes,Piano,No,train
421,Misc Traditional,Fields Of Athenry,Folk,Beginner,1.0,1:12,Yes,,https://musescore.com/user/10201112/scores/4689329,Yes,Piano,No,train
424,Misc Praise Songs,Tu Fidelidad,Religious Music,Beginner,1.0,0:45,Yes,,https://musescore.com/user/8760951/scores/5487303,Yes,Piano,No,train
428,Luigi Denza,"Funiculì, Funiculà",Classical,Beginner,2.0,0:50,Yes,,https://musescore.com/user/350/scores/21238,Yes,Piano,No,train
433,Misc Traditional,Wayfaring Stranger (I Am A Poor),Folk,Beginner,1.0,0:32,Yes,,https://musescore.com/user/19736707/scores/4604607,Yes,Piano,No,validation
444,Misc Traditional,Veni Creator Spiritus,Folk,Beginner,1.0,0:22,Yes,,https://musescore.com/user/33131263/scores/5743612,Yes,Piano,No,train
448,Ludwig Van Beethoven,"Symphony No.9, Op.125",Classical,Beginner,1.0,0:32,Yes,,https://musescore.com/user/30114170/scores/5286596,Yes,Piano,Yes,excluded
449,Kapampangan,Atin Cu Pung Sing Sing,Classical,Beginner,1.0,0:48,Yes,,https://musescore.com/user/32863604/scores/5683280,Yes,Piano,No,validation
462,Henry Clay Work,My Grandfather's Clock,Classical,Beginner,1.0,0:49,Yes,,https://musescore.com/user/23512952/scores/4550947,Yes,Piano,No,train
472,Germany Folk Song,Hänschen Klein,Classical,Beginner,1.0,0:32,Yes,,https://musescore.com/user/135230/scores/3911446,Yes,Piano,No,train
512,Niel Gow,Niel Gow's Lament For The Death Of His Second Wife,Classical,Beginner,1.0,1:36,Yes,,https://musescore.com/user/19736707/scores/4713199,Yes,Piano,No,train
513,Giuseppe Verdi,La Donna 'e Mobile,Classical,Beginner,1.0,0:51,Yes,,https://musescore.com/user/23512952/scores/5056825,Yes,Piano,No,train
528,Misc Tunes,Vou Vivendo,Solo Piano,Beginner,1.0,1:36,Yes,,https://musescore.com/user/19359462/scores/4922221,Yes,Piano,No,train
536,Misc Traditional,The Gypsy Rover,Folk,Beginner,1.0,0:36,Yes,,https://musescore.com/user/10600322/scores/5013281,Yes,Piano,No,train
537,Misc Tunes,Pokarekare Ana,Solo Piano,Beginner,1.0,2:16,Yes,,https://musescore.com/user/28448122/scores/5054569,Yes,Piano,No,validation
554,Misc Tunes,La Raspa,Solo Piano,Beginner,1.0,1:42,Yes,,https://musescore.com/user/9128922/scores/4571362,Yes,Piano,No,validation
562,Pyotr Ilyich Tchaikovsky,"Swan Lake (ballet), Op.20",Classical,Beginner,1.0,1:07,Yes,,https://musescore.com/user/285631/scores/287116,Yes,Piano,No,validation
563,Misc Tunes,The Origin Of The World,Solo Piano,Beginner,1.0,1:36,Yes,,https://musescore.com/user/19359462/scores/5016640,Yes,Piano,No,train
570,Misc Tunes,Aloha Oe,Solo Piano,,1.0,0:32,Yes,,https://musescore.com/user/350/scores/21233,Yes,Piano,No,validation
599,Misc Traditional,Hino Da Harpa Cristã 015 - Conversão,Folk,Beginner,2.0,4:04,Yes,,https://musescore.com/user/29519381/scores/5471465,Yes,Piano,No,train
606,Augsburger Puppenkiste,Eine Insel Mit Zwei Bergen,Classical,Beginner,1.0,1:05,Yes,,https://musescore.com/user/18781401/scores/5464458,Yes,Piano,No,train
612,Misc Tunes,Al Nadda,Solo Piano,Beginner,1.0,0:56,Yes,,https://musescore.com/user/55682/scores/2178301,Yes,Piano,No,train
617,Martinho Lutero Hasse,Castelo Forte,Classical,Beginner,1.0,0:47,Yes,,https://musescore.com/user/114875/scores/5256200,Yes,Piano,No,train
646,Misc Tunes,The Teddy Bears' Picnic,Solo Piano,Beginner,1.0,1:36,Yes,,https://musescore.com/user/11050847/scores/4859461,Yes,Piano,No,train
654,Misc Praise Songs,What A Friend We Have In Jesus,Religious Music,Beginner,1.0,0:32,Yes,,https://musescore.com/user/18368237/scores/4592394,Yes,Piano,No,train
657,Misc Tunes,Never On A Sunday,Solo Piano,Beginner,1.0,1:44,Yes,,https://musescore.com/user/19359462/scores/4807391,Yes,Piano,No,train
671,Misc Traditional,Pamulinawen,Folk,Beginner,1.0,1:04,Yes,,https://musescore.com/user/13027556/scores/3076626,Yes,Piano,No,train
699,Misc Traditional,Raglan Road,Folk,Beginner,1.0,0:41,Yes,,https://musescore.com/user/11183267/scores/4681353,Yes,Piano,No,train
706,Misc Traditional,La Cucaracha,Folk,Beginner,1.0,0:48,Yes,,https://musescore.com/user/20144407/scores/4546239,Yes,Piano,No,train
707,Misc Tunes,Caoineadh Cu Chulainn,Solo Piano,Beginner,1.0,2:15,Yes,,https://musescore.com/user/19359462/scores/4724704,Yes,Piano,No,train
708,Misc Tunes,Music For A Found Harmonium,Solo Piano,Beginner,1.0,1:28,Yes,,https://musescore.com/user/19359462/scores/4957300,Yes,Piano,No,train
721,Misc Tunes,Bury Me Beneath The Willow,Solo Piano,Beginner,1.0,0:32,Yes,,https://musescore.com/user/23447132/scores/4805340,Yes,Piano,No,train
722,Misc Traditional,Brian Boru's,Folk,Beginner,1.0,1:36,Yes,,https://musescore.com/user/10636897/scores/4934299,Yes,Piano,No,train
723,Música Clásica,Himno De La Alegria,Classical,,1.0,3:24,Yes,,https://musescore.com/user/30751571/scores/5394540,Yes,Piano,No,validation
732,Wolfgang Amadeus Mozart,"Tuba Mirum Spargens Sonum, Requiem",Classical,Beginner,1.0,0:54,Yes,,https://musescore.com/user/26971915/scores/4815430,Yes,Piano,No,train
733,Manuel Penella Moreno,El Gato Montés,Classical,Beginner,1.0,2:04,Yes,,https://musescore.com/user/8573407/scores/5155486,Yes,Piano,No,train
745,Misc Traditional,The Black Velvet Band,Folk,Beginner,1.0,1:12,Yes,,https://musescore.com/user/8573407/scores/4547037,Yes,Piano,No,train
746,Misc Tunes,Üsküdar`a Gider ?ken,Solo Piano,Beginner,2.0,1:53,Yes,,https://musescore.com/user/19611132/scores/4692582,Yes,Piano,No,train
748,Misc Tunes,Nachts Steht Hunger Starr In Unserm Traum,Solo Piano,Beginner,1.0,1:36,Yes,,https://musescore.com/user/23587761/scores/5453365,Yes,Piano,No,train
749,Misc Praise Songs,Ave Verum Corpus,Religious Music,Beginner,1.0,1:06,Yes,,https://musescore.com/user/33131263/scores/5785776,Yes,Piano,No,validation
770,Johann Sebastian Bach,"3 Minuets, BWV 841-843",Classical,Beginner,1.0,1:30,Yes,,https://musescore.com/user/2874861/scores/888356,Yes,Piano,No,train
771,Misc Traditional,Erev Shel Shoshanim,Folk,Beginner,1.0,1:04,Yes,,https://musescore.com/user/10599137/scores/4846662,Yes,Piano,No,train
772,Misc Traditional,Wild Mountain Thyme,Folk,Beginner,1.0,0:36,Yes,,https://musescore.com/user/11295087/scores/5086394,Yes,Piano,No,train
786,Misc Tunes,Nobody's Darling But Mine - #164,Solo Piano,Beginner,1.0,0:48,Yes,,https://musescore.com/user/12349247/scores/4589030,Yes,Piano,No,train
787,Misc Traditional,Land Of The Silver Birch,Folk,Beginner,1.0,0:36,Yes,,https://musescore.com/user/18819762/scores/5030366,Yes,Piano,No,train
796,Misc Tunes,Muiñeira De Chantada,Solo Piano,Beginner,1.0,1:36,Yes,,https://musescore.com/user/11322522/scores/5105425,Yes,Piano,No,train
810,Misc Tunes,Tabhair Dom Do Lámh,Solo Piano,Beginner,1.0,0:53,Yes,,https://musescore.com/user/19307117/scores/4563490,Yes,Piano,No,train
811,Neil Gow,Neil Gow's Lament For The Death Of His 2nd Wife,Classical,Beginner,1.0,0:48,Yes,,https://musescore.com/user/13602002/scores/4581917,Yes,Piano,No,train
812,Misc Tunes,The Northern Lights Of Old Aberdeen,Solo Piano,Beginner,1.0,1:12,Yes,,https://musescore.com/user/19307117/scores/4859946,Yes,Piano,No,train
821,Misc Tunes,"Soldiers Joy,The. JMP.068",Solo Piano,Beginner,1.0,1:04,Yes,,https://musescore.com/user/23447132/scores/5033251,Yes,Piano,No,train
829,Misc Tunes,Gankino Horo,Solo Piano,Beginner,1.0,1:00,Yes,,https://musescore.com/user/21223142/scores/4695654,Yes,Piano,No,train
830,Misc Traditional,Carnevale Di Venezia,Folk,Beginner,1.0,1:12,Yes,,https://musescore.com/user/11978772/scores/4990612,Yes,Piano,No,train
844,Luke Thomasson,Midnight On The Water,Classical,Beginner,1.0,0:48,Yes,,https://musescore.com/user/23119257/scores/4946769,Yes,Piano,No,train
877,Misc Tunes,Cold Frosty Morning,Solo Piano,Beginner,1.0,0:35,Yes,,https://musescore.com/user/12305047/scores/4586242,Yes,Piano,No,validation
878,Misc Traditional,The Hills Of Connemara,Folk,Beginner,1.0,0:48,Yes,,https://musescore.com/user/19736707/scores/4697091,Yes,Piano,No,train
888,Misc Tunes,Il Valzer Di Mezzanotte,Solo Piano,Beginner,1.0,1:48,Yes,,https://musescore.com/user/11978772/scores/4959852,Yes,Piano,No,train
890,Peakfiddler,Flowers Of Glasgow,Classical,Beginner,1.0,1:29,Yes,,https://musescore.com/user/29276174/scores/6279351,Yes,Piano,No,train
928,Misc Tunes,Never On A Sunday,Solo Piano,Beginner,1.0,1:48,Yes,,https://musescore.com/user/19359462/scores/4938125,Yes,Piano,No,train
929,Misc Tunes,Old Joe Clark,Solo Piano,Beginner,1.0,0:16,Yes,,https://musescore.com/user/19171632/scores/5057265,Yes,Piano,No,train
943,Misc Tunes,Tam Lin,Solo Piano,,1.0,0:48,Yes,,https://musescore.com/user/10600322/scores/4934622,Yes,Piano,No,train
947,Misc Traditional,Oh Susanna,Folk,,1.0,0:38,Yes,,https://musescore.com/user/31383690/scores/5990302,Yes,Piano,No,train
962,Misc Tunes,Oh Lord It's Hard To Be Humble,Solo Piano,Beginner,1.0,1:44,Yes,,https://musescore.com/user/9025532/scores/4546265,Yes,Piano,No,validation
963,Tanburi Cemil Bey,Cecen Kizi,Classical,Beginner,1.0,1:20,Yes,,https://musescore.com/user/9724662/scores/4660963,Yes,Piano,No,train
964,Misc Tunes,Yankee Doodle,Solo Piano,Beginner,1.0,0:32,Yes,,https://musescore.com/user/21711362/scores/4681490,Yes,Piano,No,train
965,Misc Traditional,"Tzena, Tzena",Folk,Beginner,1.0,0:48,Yes,,https://musescore.com/user/9729502/scores/4965651,Yes,Piano,No,train
975,Edewede Oriwoh,"Hail, The Redeemer, King Divine",Classical,Beginner,1.0,0:36,Yes,,https://musescore.com/user/195858/scores/308251,Yes,Piano,No,train
976,Misc Tunes,Cripple Creek,Solo Piano,Beginner,1.0,1:04,Yes,,https://musescore.com/user/13785932/scores/4672859,Yes,Piano,No,train
979,Alfonso El Sabio,Quen A Omagen Da Virgen,Classical,,1.0,0:30,Yes,,https://musescore.com/user/33131263/scores/5786387,Yes,Piano,No,train
987,Stephen Foster,My Old Kentucky Home,Classical,,2.0,0:48,Yes,,https://musescore.com/user/350/scores/21243,Yes,Piano,No,train
990,Misc Tunes,DUKE OF YORK'S MARCH,Solo Piano,Beginner,1.0,0:16,Yes,,https://musescore.com/user/19736707/scores/4566035,Yes,Piano,No,train
991,Misc Tunes,Si Bheag Si Mhor,Solo Piano,Beginner,1.0,1:55,Yes,,https://musescore.com/user/19736707/scores/4570245,Yes,Piano,No,train
992,Misc Traditional,Mary Ann,Folk,Beginner,1.0,1:04,Yes,,https://musescore.com/user/13798517/scores/4583506,Yes,Piano,No,train
993,Misc Tunes,Hora Lautareasca,Solo Piano,Beginner,1.0,0:48,Yes,,https://musescore.com/user/7059777/scores/4684122,Yes,Piano,No,train
1007,Misc Tunes,Di Sapozhkelekh,Solo Piano,,1.0,0:48,Yes,,https://musescore.com/user/12760917/scores/5003312,Yes,Piano,No,train
1022,Misc Traditional,"Großer Gott, Wir Loben Dich",Folk,Beginner,1.0,0:36,Yes,,https://musescore.com/user/10108381/scores/3857136,Yes,Piano,No,train
1023,Misc Tunes,Farewell To Ireland,Solo Piano,Beginner,1.0,2:08,Yes,,https://musescore.com/user/16113282/scores/5122776,Yes,Piano,No,train
1024,Misc Traditional,Smeceno Horo,Folk,Beginner,1.0,2:21,Yes,,https://musescore.com/user/11322522/scores/5138406,Yes,Piano,No,train
1035,Misc Tunes,The Raggle Taggle Gypsy,Solo Piano,,1.0,0:10,Yes,,https://musescore.com/user/19171632/scores/4569042,Yes,Piano,No,train
1037,Enoch Sontanga,Nkosi Sikelel' IAfrika,Classical,,1.0,0:54,Yes,,https://musescore.com/user/10201112/scores/4892665,Yes,Piano,No,train
1038,Misc Tunes,Fikrimden Geceler Yatabilmirem,Solo Piano,,3.0,5:12,Yes,,https://musescore.com/user/19307117/scores/4967397,Yes,Piano,No,train
1039,Misc Tunes,Irish Rover,Solo Piano,,1.0,0:32,Yes,,https://musescore.com/user/18263562/scores/4972921,Yes,Piano,No,train
1040,Misc Traditional,Off To California,Folk,,1.0,1:04,Yes,,https://musescore.com/user/8727372/scores/5083359,Yes,Piano,No,validation
1043,Misc Traditional,Manang Biday,Folk,,1.0,0:24,Yes,,https://musescore.com/user/32863604/scores/5681872,Yes,Piano,No,validation
1056,Sayed Darwish,El Helwa Di,Classical,Beginner,2.0,1:50,Yes,,https://musescore.com/user/55682/scores/3325791,Yes,Piano,No,train
1058,James Kernigan,Red River Valley,Classical,Beginner,1.0,0:32,Yes,,https://musescore.com/user/9729502/scores/4579786,Yes,Piano,No,train
1059,Misc Tunes,The Rose Of Tralee,Solo Piano,,1.0,1:36,Yes,,https://musescore.com/user/19359462/scores/4654280,Yes,Piano,No,train
1060,Misc Tunes,Inno Di Mameli,Solo Piano,,1.0,1:08,Yes,,https://musescore.com/user/18819762/scores/4674880,Yes,Piano,No,train
1062,Misc Tunes,Vieni Sul Mar,Solo Piano,,1.0,1:39,Yes,,https://musescore.com/user/11058402/scores/5013398,Yes,Piano,No,validation
1063,Misc Tunes,Planxty Irwin,Solo Piano,,1.0,1:12,Yes,,https://musescore.com/user/19171632/scores/5056468,Yes,Piano,No,validation
1064,Misc Traditional,Sometimes I Feel Like A Motherless Child,Folk,,1.0,0:30,Yes,,https://musescore.com/user/21768687/scores/5071555,Yes,Piano,No,train
1080,Karl L. King,Trombone King,Classical,,2.0,4:58,Yes,,https://musescore.com/user/12491746/scores/2714631,Yes,Piano,No,train
1081,Misc Tunes,Pippi Langstrumpf,Solo Piano,,1.0,0:33,Yes,,https://musescore.com/user/11322522/scores/4680182,Yes,Piano,No,train
1082,Misc Traditional,Crawdad Song,Folk,,1.0,0:32,Yes,,https://musescore.com/user/19171632/scores/4965137,Yes,Piano,No,train
1088,Misc Traditional,Gaudete! Gaudete! Christus Est Natus,Folk,Beginner,1.0,0:47,Yes,,https://musescore.com/user/33131263/scores/5785751,Yes,Piano,No,train
1093,Faiyaz Khan,Sajan More Ghar Aaye,World Music,Beginner,1.0,1:05,Yes,,https://musescore.com/user/32278450/scores/6781032,Yes,Piano,No,train
1102,Misc Traditional,Tarantella Siciliana,Folk,Beginner,1.0,2:00,Yes,,https://musescore.com/user/16113282/scores/4666297,Yes,Piano,No,train
1103,Misc Tunes,Hine Ma Tov,Solo Piano,Beginner,1.0,0:36,Yes,,https://musescore.com/user/9025532/scores/4961771,Yes,Piano,No,train
1107,Misc Traditional,Cànan Nan Gàidheal,Folk,,2.0,1:00,Yes,,https://musescore.com/user/33131263/scores/5786811,Yes,Piano,No,train
1121,Misc Tunes,CHURCH IN THE WILDWOOD,Solo Piano,,1.0,0:42,Yes,,https://musescore.com/user/19153072/scores/4868038,Yes,Piano,No,train
1122,Misc Tunes,American Patrol,Solo Piano,,1.0,0:48,Yes,,https://musescore.com/user/17034867/scores/4886417,Yes,Piano,No,train
1143,Misc Tunes,Pokarekare Ana,Solo Piano,Beginner,1.0,0:48,Yes,,https://musescore.com/user/18246347/scores/4557003,Yes,Piano,No,train
1144,Misc Tunes,The Koala Bears' Picnic,Solo Piano,,1.0,1:36,Yes,,https://musescore.com/user/19736707/scores/4566205,Yes,Piano,No,validation
1146,Misc Tunes,Sally Goodin',Solo Piano,,1.0,0:15,Yes,,https://musescore.com/user/21524852/scores/4690106,Yes,Piano,No,train
1164,Daoud Hosny,Hamama Beida,Classical,,1.0,0:40,Yes,,https://musescore.com/user/55682/scores/2775036,Yes,Piano,No,train
1166,Misc Traditional,An Old Favourite Jig Of Eileen McCoy's,Folk,Beginner,1.0,0:48,Yes,,https://musescore.com/user/18600852/scores/4601492,Yes,Piano,No,train
1168,Salvatore Gambardella,"O Marenariello [Dm,D]",Classical,,1.0,1:47,Yes,,https://musescore.com/user/9008147/scores/4611379,Yes,Piano,No,validation
1169,Misc Traditional,Salt Creek,Folk,,1.0,0:34,Yes,,https://musescore.com/user/12349247/scores/4664437,Yes,Piano,No,train
1170,Ruggiero Leoncavallo,Mattinata,Classical,,1.0,0:50,Yes,,https://musescore.com/user/11200692/scores/4678726,Yes,Piano,No,validation
1171,Misc Tunes,The Bear Dance,Solo Piano,,1.0,1:17,Yes,,https://musescore.com/user/9532487/scores/4951118,Yes,Piano,No,train
1172,Misc Tunes,La Raspa,Solo Piano,,1.0,1:42,Yes,,https://musescore.com/user/17863882/scores/4952962,Yes,Piano,No,train
1173,Misc Tunes,Retour Des Hirondelles,Solo Piano,,2.0,4:00,Yes,,https://musescore.com/user/19359462/scores/5014763,Yes,Piano,No,validation
1174,Misc Tunes,Nobody Knows The Trouble I've Seen,Solo Piano,,1.0,0:53,Yes,,https://musescore.com/user/15370167/scores/5052301,Yes,Piano,No,train
1188,Misc Tunes,The Devil's Dream,Solo Piano,Beginner,1.0,0:40,Yes,,https://musescore.com/user/10321212/scores/4572193,Yes,Piano,No,validation
1189,Misc Tunes,Whiskey In The Jar,Solo Piano,Beginner,1.0,0:30,Yes,,https://musescore.com/user/7706637/scores/4653828,Yes,Piano,No,validation
1213,Misc Traditional,Myfanwy,Folk,Beginner,1.0,0:51,Yes,,https://musescore.com/user/7706637/scores/4564130,Yes,Piano,No,train
1214,Misc Tunes,Coleraine,Solo Piano,Beginner,1.0,0:30,Yes,,https://musescore.com/user/9025532/scores/4575823,Yes,Piano,No,train
1215,Misc Tunes,The Kid On The Mountain,Solo Piano,Beginner,1.0,1:30,Yes,,https://musescore.com/user/13602002/scores/4606218,Yes,Piano,No,train
1216,Misc Tunes,Finnegans Wake,Solo Piano,Beginner,1.0,0:40,Yes,,https://musescore.com/user/19359462/scores/4856312,Yes,Piano,No,validation
1217,Misc Tunes,The Lonesome Boatman,Solo Piano,Beginner,1.0,1:20,Yes,,https://musescore.com/user/19359462/scores/4922394,Yes,Piano,No,train
1218,Misc Tunes,Give Me Your Hand,Solo Piano,Beginner,1.0,1:20,Yes,,https://musescore.com/user/10212107/scores/5087685,Yes,Piano,No,train
1242,Misc Traditional,An Eriskay Love Lilt,Folk,Beginner,1.0,0:48,Yes,,https://musescore.com/user/8568197/scores/4551677,Yes,Piano,No,validation
1243,Misc Tunes,"Alleluia, Sing To Jesus",Solo Piano,Beginner,1.0,0:48,Yes,,https://musescore.com/user/22764302/scores/4589107,Yes,Piano,No,train
1244,Misc Tunes,Believe Me If All Those Endearing Young Charms,Solo Piano,Beginner,1.0,0:48,Yes,,https://musescore.com/user/16517032/scores/4708129,Yes,Piano,No,train
1245,Misc Tunes,Keep On The Sunny Side,Solo Piano,Beginner,1.0,1:01,Yes,,https://musescore.com/user/17172412/scores/4969207,Yes,Piano,No,validation
1246,Misc Traditional,Danny Boy,Folk,Beginner,1.0,0:32,Yes,,https://musescore.com/user/11058402/scores/4992262,Yes,Piano,No,train
1247,Misc Tunes,The Rakes Of Mallow,Solo Piano,Beginner,1.0,0:44,Yes,,https://musescore.com/user/12305047/scores/5036468,Yes,Piano,No,train
1248,Misc Traditional,I Wonder As I Wander,Folk,Beginner,1.0,0:41,Yes,,https://musescore.com/user/12259527/scores/5126205,Yes,Piano,No,validation
1272,Henry Clay Work,My Grandfather's Clock,Classical,Beginner,1.0,0:48,Yes,,https://musescore.com/user/22127057/scores/4587237,Yes,Piano,No,train
1273,Misc Traditional,Down By The Salley Gardens,Folk,Beginner,1.0,0:32,Yes,,https://musescore.com/user/19611132/scores/4683947,Yes,Piano,No,train
1274,Misc Tunes,Schwarze Augen,Solo Piano,Beginner,1.0,0:58,Yes,,https://musescore.com/user/20692717/scores/4839377,Yes,Piano,No,validation
1275,Misc Tunes,The Dunmore Lasses,Solo Piano,Beginner,1.0,1:04,Yes,,https://musescore.com/user/10212107/scores/4875173,Yes,Piano,No,train
1276,Misc Tunes,Under Paris Skies,Solo Piano,Beginner,1.0,2:08,Yes,,https://musescore.com/user/19171632/scores/4933551,Yes,Piano,No,train
1277,Misc Tunes,Planxty Fanny Power,Solo Piano,Beginner,1.0,0:55,Yes,,https://musescore.com/user/10657507/scores/4958489,Yes,Piano,No,train
1278,Misc Tunes,All Creatures Of Our God And King,Solo Piano,Beginner,1.0,0:48,Yes,,https://musescore.com/user/11128777/scores/5004495,Yes,Piano,No,validation
1279,Samuel Lover,Rare Old Mountain Dew,Classical,Beginner,1.0,0:24,Yes,,https://musescore.com/user/9729502/scores/5124912,Yes,Piano,No,train
1285,Thomas À Becket,"Columbia, The Gem Of The Ocean",Classical,Beginner,1.0,0:50,Yes,,https://musescore.com/user/33131263/scores/5788774,Yes,Piano,No,train
1293,"Indian Classical, Gwalior School, Unknown,",Jaago Mohan Pyaare,World Music,Beginner,1.0,1:20,Yes,,https://musescore.com/user/32278450/scores/6723869,Yes,Piano,No,train
1297,Baden Powell,Deixa,Jazz,Beginner,1.0,0:44,Yes,,https://musescore.com/user/89988/scores/112663,Yes,Piano,No,train
1298,José Bevilacqua,"Honor Y Gloria A Ti, Señor Jesús",Classical,Beginner,2.0,2:53,Yes,,https://musescore.com/user/17189741/scores/3499001,Yes,Piano,No,train
1300,Misc Tunes,The Gentle Light That Wakes Me,Solo Piano,,1.0,1:04,Yes,,https://musescore.com/user/11322522/scores/4844974,Yes,Piano,No,train
1302,Misc Traditional,Carrickfergus,Folk,,1.0,1:04,Yes,,https://musescore.com/user/11322522/scores/4976804,Yes,Piano,No,train
1303,Misc Tunes,Summertime With Chords,Solo Piano,,1.0,0:32,Yes,,https://musescore.com/user/19736707/scores/5032031,Yes,Piano,No,train
1309,Misc Traditional,"Blinka, Lilla Stjärna",Folk,,2.0,0:48,Yes,,https://musescore.com/user/23623/scores/6169697,Yes,Piano,No,validation
1324,Misc Traditional,Bafta Hindi بفتة هندي,Folk,Beginner,1.0,0:40,Yes,,https://musescore.com/user/55682/scores/2171876,Yes,Piano,No,train
1325,Russian,Expectation Waltz,Classical,Beginner,1.0,3:14,Yes,,https://musescore.com/user/21703902/scores/4565634,Yes,Piano,No,validation
1326,Misc Tunes,Crested Hens,Solo Piano,Beginner,1.0,1:36,Yes,,https://musescore.com/user/12305047/scores/4673033,Yes,Piano,No,train
1327,Misc Traditional,Blackberry Blossom,Folk,Beginner,1.0,1:05,Yes,,https://musescore.com/user/17847982/scores/4695207,Yes,Piano,No,train
1329,Misc Tunes,The Night Visiting Song,Solo Piano,Beginner,1.0,0:32,Yes,,https://musescore.com/user/11295087/scores/4939054,Yes,Piano,No,train
1330,Misc Tunes,The Mountains Of Mourne,Solo Piano,Beginner,1.0,0:48,Yes,,https://musescore.com/user/19611132/scores/4958888,Yes,Piano,No,train
1331,Misc Tunes,Jock Stewart,Solo Piano,Beginner,1.0,0:21,Yes,,https://musescore.com/user/20144407/scores/4967303,Yes,Piano,No,train
1332,Misc Tunes,The Mason's Apron,Solo Piano,Beginner,2.0,3:44,Yes,,https://musescore.com/user/18246347/scores/4990314,Yes,Piano,No,train
1362,Ernesto De Curtis,"Torna A Sorrento [Gm,G]",Classical,Beginner,1.0,1:06,Yes,,https://musescore.com/user/11574722/scores/4654262,Yes,Piano,No,train
1363,Misc Tunes,Flatwater Fran,Solo Piano,Beginner,1.0,1:36,Yes,,https://musescore.com/user/19359462/scores/4664885,Yes,Piano,No,train
1366,Misc Tunes,Rio Grande,Solo Piano,Beginner,1.0,0:24,Yes,,https://musescore.com/user/9008147/scores/4829826,Yes,Piano,No,validation
1367,Misc Tunes,Moldavian Doina,Solo Piano,Beginner,1.0,0:57,Yes,,https://musescore.com/user/16113282/scores/4835069,Yes,Piano,No,train
1368,Misc Tunes,The Strayaway Child,Solo Piano,Beginner,1.0,2:24,Yes,,https://musescore.com/user/19359462/scores/5111562,Yes,Piano,No,validation
